seconds,positive,negative,anger,happy,fear,sad,excited,closeup,body,faces,num_chars,spoken_words,written_words,has_letters,brightness,saliency,sharpness,vibrance,loudness,tempo,motion
1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.002486306,0.04856369,0.847058824,0.097649427,0.005719805,117.4538352,2109.884833
1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.002679307,0.051918644,0.847058824,0.111491019,0.006725986,117.4538352,2141.5912
1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.002831174,0.055648309,0.847058824,0.121947731,0.013886906,117.4538352,1631.217633
1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.002958128,0.057696518,0.847058824,0.140540552,0.018850029,117.4538352,2429.64725
1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.003068486,0.058721788,0.847058824,0.139207069,0.02667925,117.4538352,1823.26505
2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.003232263,0.060278582,0.847058824,0.152965714,0.030843227,117.4538352,2394.619
2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.003595337,0.062361593,0.847058824,0.148197284,0.032969488,117.4538352,4430.6609
2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.003647624,0.063910912,0.847058824,0.156717893,0.031195562,117.4538352,1534.2649
2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.003596329,0.067136622,0.847058824,0.161522527,0.021303462,117.4538352,1026.94055
2.4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.003621551,0.064701968,0.847058824,0.168789652,0.028421171,117.4538352,1094.4785
2.5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.005700276,0.067040895,0.847058824,0.359272048,0.03811682,117.4538352,29312.83813
2.6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.009802227,0.071740934,0.847058824,1.378243902,0.036680959,117.4538352,31339.775
2.7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.010590572,0.070127476,0.847058824,1.568814693,0.047034455,117.4538352,46296.35167
